861,amount,量，金額；合計，総額；総計～になる
862,result,結果；結果として生じる；～の結果になる
863,method,方法，方式
864,environment,（自然）環境
865,experiment,実験；実験をする
866,view,意見，見解；眺め；視野
867,experience,経験，体験；～を経験する
868,research,研究開発；～を研究する
869,distance,距離，道のり；隔たり
870,plant,植物；（製造）工場
871,population,人口；住民
872,project,計画，企画；事業
873,effect,効果；影響；結果
874,purpose,目的，意図
875,surface,表面；水面，地表；表面の
876,adult,大人，成人；大人の，成人の
877,record,記録；成績；～を記録する；～を録音［録画］する
878,track,（通った）跡；足跡
879,fear,恐怖（心），恐れ；～を恐れる
880,pressure,圧力；気圧；血圧
881,source,源，原因；出所；情報源
882,act,行為，行い；（劇の）幕；行動する；ふるまう
883,blood,血，血液；血統
884,lack,不足，欠乏；～を欠く
885,progress,進歩；前進；上達；進歩する
886,audience,観衆，聴衆；視聴者
887,department,（組織の）部門，課；省；（大学などの）学科
888,process,過程；手順，工程
889,temperature,温度，気温；体温
890,theory,理論；学説
891,ability,能力，力量；才能
892,crowd,群集，多数
893,position,位置，場所；姿勢；地位；立場
894,president,大統領；社長
895,risk,危険，危険性；（命など）を賭ける
896,role,役割，役
897,scene,場面，現場；眺め，光景
898,staff,職員，スタッフ
899,aid,援助；助け；～を援助する
900,bottom,底，底部
901,generation,一世代；同世代の人々；発生，発電
902,individual,個人；個々の
903,relation,関係，関連；親類，親族
904,branch,枝；支店
905,edge,（刃物の）刃；端，縁
906,site,用地，場所；現場；（インターネット上の）サイト
907,court,法廷，裁判所；宮廷；中庭；コート
908,direction,方向，方角；指導；指示
909,manner,方法；態度；行儀，作法；風習；流儀
910,root,（植物の）根；付け根；根源，根本
911,tax,税金
912,tradition,伝統；慣習
913,industry,工業；産業；勤勉
914,labor,労働；骨折り，努力
915,trade,貿易；商売
916,youth,若者，青年；青年時代
917,survey,調査；～を調査する
918,author,著者，筆者
919,conduct,行為，品行；～を行う
920,neighbor,隣人，近所の人；隣国
921,passenger,乗客
922,access,接近；利用（権）；～に接続する，接近する
923,clerk,事務員；店員；牧師
924,excuse,言い訳，口実；～の言い訳をする
925,contrast,対比，対照；差異，違い；～を対照する，対比する
926,instance,例；場合
927,desert,砂漠
928,muscle,筋（肉）；筋力
929,row,列，並び；（船など）をこぐ
930,delight,大喜び；楽しみ；～を喜ばせる
931,desire,欲望，欲求；願望，要望；～を望む
932,gene,遺伝子
933,leisure,自由な時間，余暇
934,summit,頂上，頂点；首脳会議
935,trap,わな；策略
936,pleasure,楽しみ，喜び，愉快
937,tear,涙；～を引き裂く
938,cancer,がん；悪性腫瘍
939,harm,害，危害；～に害を与える
940,quarter,4分の1（の）
941,rhythm,リズム
942,bomb,爆弾
943,ceremony,儀式，式典；儀礼
944,courage,勇気，度胸
945,custom,慣習；習慣；税関；関税
946,democracy,民主主義
947,earthquake,地震
948,intelligence,知能，知性
949,prison,刑務所
950,advantage,有利，好都合；長所
951,mankind,人類
952,grocery,食料雑貨店，食料品店
953,mind,心，精神；～を嫌がる；～を気にかける
954,order,秩序；順序；命令；注文；～を命じる；～を注文する
955,sense,感覚；センス，理解力；意味
956,state,状態；国家，国；（米国などの）州；～を述べる
957,company,仲間；会社
958,character,人物；登場人物；性格；（表意）文字
959,respect,尊敬；尊重；関心；～を尊敬する
960,case,場合，事例；問題；事実；主張；訴訟
